电流/mA     电压/V     功率/mW     背光/uA
0.000000     0.732160     0.156080     0.000000
0.500000     0.739440     0.187400     0.000000
1.800000     0.757120     0.156080     0.000000
2.400000     0.775840     0.195200     0.000000
3.400000     0.782080     0.156080     0.000000
4.000000     0.796640     0.190000     0.000000
5.100000     0.807040     0.156080     0.000000
6.300000     0.819520     0.156080     0.000000
7.700000     0.828880     0.156080     0.000000
8.500000     0.840320     0.158680     0.000000
9.800000     0.848640     0.156080     0.000000
10.300000     0.858000     0.156080     0.000000
11.800000     0.864240     0.156080     0.000000
12.500000     0.874640     0.158680     0.000000
13.700000     0.880880     0.156080     0.000000
14.200000     0.887120     0.161280     0.000000
15.500000     0.896480     0.161280     0.000000
16.500000     0.902720     0.171720     0.000000
17.400000     0.910000     0.171720     0.000000
18.300000     0.916240     0.156080     0.000000
19.500000     0.922480     0.156080     0.000000
20.300000     0.928720     0.156080     0.000000
21.400000     0.936000     0.156080     0.000000
21.900000     0.941200     0.166520     0.000000
23.200000     0.947440     0.156080     0.000000
24.400000     0.951600     0.156080     0.000000
25.300000     0.958880     0.190000     0.000000
26.400000     0.963040     0.156080     0.000000
27.400000     0.970320     0.184760     0.000000
28.500000     0.974480     0.156080     0.000000
29.100000     0.980720     0.179560     0.000000
30.600000     0.984880     0.163920     0.000000
31.500000     0.992160     0.158680     0.000000
32.600000     0.997360     0.156080     0.000000
33.500000     1.002560     0.156080     0.000000
34.700000     1.006720     0.163920     0.000000
35.600000     1.010880     0.156080     0.000000
36.400000     1.017120     0.171720     0.000000
37.800000     1.021280     0.156080     0.000000
38.500000     1.027520     0.192600     0.000000
39.500000     1.031680     0.156080     0.000000
40.300000     1.038960     0.179560     0.000000
41.600000     1.043120     0.200440     0.000000
42.300000     1.049360     0.328280     0.000000
43.300000     1.051440     0.445680     0.000000
44.200000     1.056640     0.604840     0.000000
45.400000     1.059760     0.701360     0.000000
46.100000     1.064960     0.837040     0.000000
47.300000     1.070160     1.030120     0.000000
48.400000     1.074320     1.199680     0.000000
49.700000     1.079520     1.442320     0.000000
50.500000     1.082640     1.499720     0.000000
51.600000     1.087840     1.755400     0.000000
52.500000     1.093040     1.875440     0.000000
53.700000     1.097200     2.175480     0.000000
54.400000     1.101360     2.272000     0.000000
55.600000     1.106560     2.525080     0.000000
56.400000     1.109680     2.707720     0.000000
57.400000     1.115920     2.971240     0.000000
58.500000     1.118000     3.054720     0.000000
59.700000     1.123200     3.315600     0.000000
60.800000     1.125280     3.474760     0.000000
61.700000     1.131520     3.766960     0.000000
62.600000     1.134640     3.845240     0.000000
63.500000     1.139840     4.127040     0.000000
64.800000     1.145040     4.265280     0.000000
65.200000     1.150240     4.575760     0.000000
66.400000     1.152320     4.677520     0.000000
67.100000     1.157520     4.982800     0.000000
68.800000     1.160640     5.063680     0.000000
69.300000     1.166880     5.342840     0.000000
70.700000     1.170000     5.491560     0.000000
71.300000     1.174160     5.742000     0.000000
72.800000     1.177280     5.911600     0.000000
73.400000     1.181440     6.149000     0.000000
74.700000     1.185600     6.308160     0.000000
75.500000     1.189760     6.545600     0.000000
76.700000     1.194960     6.793440     0.000000
77.100000     1.200160     6.973480     0.000000
78.500000     1.202240     7.187400     0.000000
79.100000     1.206400     7.403960     0.000000
80.600000     1.210560     7.547440     0.000000
81.400000     1.216800     7.803160     0.000000
82.700000     1.218880     7.931000     0.000000
83.100000     1.224080     8.131880     0.000000
84.600000     1.230320     8.314520     0.000000
85.400000     1.233440     8.609320     0.000000
86.700000     1.237600     8.747600     0.000000
87.300000     1.239680     9.042440     0.000000
88.900000     1.243840     9.144200     0.000000
89.500000     1.248000     9.449440     0.000000
90.900000     1.251120     9.579880     0.000000
91.400000     1.256320     9.832960     0.000000
92.700000     1.260480     10.010400     0.000000
93.200000     1.265680     10.276520     0.000000
94.400000     1.268800     10.417400     0.000000
95.000000     1.271920     10.662640     0.000000
96.600000     1.276080     10.834840     0.000000
97.600000     1.281280     11.069640     0.000000
98.800000     1.284400     11.179240     0.000000
99.100000     1.289600     11.434920     0.000000
100.600000     1.292720     11.594080     0.000000
101.300000     1.297920     11.839320     0.000000
102.700000     1.301040     12.040200     0.000000
103.300000     1.305200     12.293280     0.000000
104.700000     1.308320     12.475920     0.000000
105.100000     1.313520     12.679440     0.000000
106.300000     1.315600     12.895960     0.000000
106.800000     1.319760     13.083840     0.000000
108.500000     1.324960     13.279480     0.000000
109.600000     1.329120     13.467360     0.000000
110.800000     1.333280     13.691720     0.000000
111.300000     1.335360     13.806520     0.000000
112.500000     1.340560     14.062200     0.000000
113.400000     1.344720     14.283960     0.000000
114.600000     1.349920     14.526600     0.000000
115.300000     1.350960     14.683160     0.000000
116.600000     1.357200     14.894480     0.000000
117.300000     1.359280     15.103200     0.000000
118.900000     1.364480     15.325000     0.000000
119.400000     1.367600     15.468480     0.000000
120.300000     1.372800     15.771120     0.000000
121.200000     1.374880     15.898960     0.000000
122.300000     1.380080     16.170320     0.000000
123.100000     1.383200     16.339880     0.000000
124.700000     1.389440     16.540800     0.000000
125.300000     1.391520     16.671240     0.000000
126.600000     1.397760     16.924320     0.000000
127.100000     1.399840     17.096520     0.000000
128.700000     1.404000     17.378280     0.000000
129.600000     1.406080     17.545280     0.000000
130.600000     1.411280     17.795720     0.000000
131.500000     1.412320     17.920960     0.000000
132.600000     1.418560     18.218400     0.000000
133.300000     1.421680     18.322760     0.000000
134.400000     1.427920     18.630640     0.000000
134.900000     1.428960     18.766280     0.000000
136.400000     1.434160     19.014160     0.000000
137.700000     1.435200     19.108080     0.000000
138.600000     1.442480     19.387240     0.000000
