留言时间,评分,回复数,点赞数,图片数,评论内容
2022-01-30 22:32:11,5,3,5,8,精挑细选很久?，最后决定买这一款?，春节居家小零食，吃着方便，到货后果然没有让我失望，包装很漂亮?，用料精细?，特别满意?
2021-09-23 12:02:46,5,38,17,4,哦口感很好吃，干湿分离，里面的干果很脆，益生菌的，酸酸甜甜的，小孩子也喜欢吃。蔓越莓干，和蓝莓干都好吃，包装很好，物流很快，快递公司送货上门。棒棒哒！
2022-02-03 14:34:39,5,1,1,8,三只松鼠是专门做各种零食、干果的，性价比超群，每日坚果系列对比过好多家品牌的，还是买了这款，包装是养眼的绿色，一只可爱的松鼠??牛顿特写让人过目不忘。\n箱子还有个提手，拿着也方便。\n里面一共有30小袋，每袋都是独立分装，干果和果肉分开锁鲜，该脆的脆，该软的软。\n6种坚果(巴旦木仁、开心果仁、榛子仁、夏威夷果仁、核桃仁、腰果仁)，3种果干(黑加仑葡萄干、蔓越莓干、蓝莓干)，种类丰富，营养全面。\n保质期很长，有6个月之久，一天一袋，很快就能出完。
2019-12-28 10:24:32,5,56,60,8,三只松鼠品牌是国内制造高精尖的标志和象征，是干果行业的排头兵和领军者，也是亿万国民心目中当之无愧的佼佼者和翘楚。专注干果制造业多年，凭借优秀的品质，公道合理的价格，赢得了国民的一致好评和喜爱。我买过他家的很多干果，每一个系列都很出色。这款每日坚果大礼包一如既往地秉承了他的高端大气上档次。首先包装完好无损，采用专业硬纸盒包装，确保了产品在长途运输中也能安然无恙。外包装颜色是绿色，给人一种清新脱俗，自然纯净的感觉，彰显着品牌的健康自然活力，让人眼前一亮。其次品质过硬。用6:3坚果干果搭配。9种元素科学搭配，营养丰富。坚果搭配有巴旦木仁，开心果仁，腰果仁，开心果仁，榛子仁等等。干果搭配主要有蓝莓干，蔓越莓干等等。每一粒坚果干果都是精挑细选，品质让人放心。与其他品牌的坚果不同，三只松鼠坚果采用的是坚果和干果分区锁鲜的特包装技术。每一包中间都将坚果和干果分开。锁住了鲜，脆，软。调和香，酸，甜。每天一包营养又美味，健康又安全，让人一整天都元气满满。
2021-11-07 12:56:57,5,6,15,4,很好的干果首选，干湿分离，没有特殊的味道，早餐小点，一家人都可以吃，小朋友吃的很欢。就剩最后两小包了，准备再入手，趁着双十一有活动，爱了爱了，京东送货很给力。
2020-05-16 19:01:35,5,12,33,8,大名鼎鼎的三只松鼠品牌是中国家喻户晓的驰名品牌，干果行业标准化现代化销售的推动者。创立多年以来，凭借优秀的品质和公道合理的价格屹立不倒，是行业的领先者和佼佼者。我买过他家的兰花豆，松子等许多种干果，都很满意。这次购买的这款每日坚果也是回购无数次了，一如既往的传承了三只松鼠的优秀品质。首先包装完好无损，独具一格的分区包装有效锁住了产品的鲜，脆，软。外包装采用精美礼盒包装，抗压抗摔而且环保。每一袋都采用干果和坚果分区锁鲜保鲜的独特包装技术，将干果和坚果分开，有效防潮防异味儿，安全卫生，而且便于携带。产品外包装的主打色是绿色，清新淡雅，让人眼前一亮，记忆深刻，与产品新鲜美味的贴合度很高。其次品质卓越。每一颗坚果和干果都是历经精挑细选，品质过硬。采用6:3坚果干果搭配，9种元素科学搭配，营养美味。干果搭配有蓝莓干，蔓越莓干等，坚果搭配有巴旦木，腰果，开心果仁，核桃仁等，每天一袋，美味营养，元气满满！可以当做早餐，下午茶，我们全家都很喜欢！推荐给大家！
2021-11-01 14:51:47,5,3,5,4,大品牌，回购，分两个区域，利于满足不同口味的亲朋好友食用，坚果很饱满，味道纯正。\n此外，物美价廉，包装精美，是自食和馈赠好友的佳品。
2019-11-12 09:37:16,5,8,17,8,三只松鼠的零食经常买，但是这种每日坚果还真是第一次买，非常满意呀，还会回购！\n1．包装惊喜！外包装很贴心的告知开启方式，打开后就看到＂每天一包，元气满满．．．＂。30只小包装，侧面缺口使包装轻松开启，里面是隔开的中缝设计分区锁鲜，简直太棒了。\n2．口味毋庸置疑，一如既往的好，酸酸的甜甜的蓝莓蔓越梅葡萄干搭配巴旦木仁、开心果仁、榛子仁、夏威夷果仁、黏膜核桃仁和腰果仁，营养丰富！\n3．生产日期：2019年9月26日，保质期6个月。
2020-08-01 17:38:20,5,3,18,9,坚果很不错，每个独立包装，每次方便，想吃的时候可以随时取一包。干湿分离，很科学的包装。分量很足，爆满的很。第一次买这一大箱坚果，值得买！非常美味! 收到以后尝了一包之后，马上下单又买了一箱! 首先干湿分离的设计很方便，如果不喜欢混合果干和坚果，可以分开单独吃。然后坚果种类丰富，并且每一颗都新鲜美味。果干也很软很可口。希望经常有活动，还会再来买的!双十一活动时买的，价格非常合适，物流给力次日达。质量很好，坚果很多，坚果占比比较高，贵是有贵的道理的，不想以前买的便宜的，大多是一些果仁枣干花生豆之类的配在里面，没有这个有营养。包装是干湿分开的，放时间长了果仁吃起来的不会潮，水果干也不错，好评！朋友推荐的，太方便了，包装设计简洁大方，干湿分离，锁住水分，保障了干果的松脆，确实很方便。京东物流也超级棒，当天早上下单就能当天送达。很大一袋，每个袋子中间有分割粘条，坚果和果干各占一边，这样的心思超级巧妙了，即规划出一天的量，也避免坚果，果干混至一起影响口感！打开了一看，认识的有蔓越莓，蓝莓，葡萄干，圣女果干，核桃，杏仁，腰果，开心果，大榛子仁，很全面的营养！老人孩子还有我自都很爱吃！
2019-10-28 22:13:11,5,2,11,8,下午收到了，本来昨天就能拿到，放在驿站今天才拿的，回来给媳妇拆了一包，味道超级好吃的，三只松鼠品牌的真好吃。之前买过其他的味道一般，颗粒也小。三只松鼠的颗粒很大好吃的哼！赞！
